labels	kor_sentence
positive	전남경찰청은 농민들을 상대로 태양광발전시설 설치 사기행각을 벌인 31명을 붙잡아 이가운데 13명을 구속했습니다. 이들은 지난 2020년부터 고령의 농민들에게 접근해 태양광발전시설로 고소득이 보장된다고 속인 뒤... 
positive	"이날 대학본부에서 열린 협약식에 순천대는 고영진 총장, 인공지능공학부 신창선 교수, 지능기술연구소 김용규, 김광심 교수가 참석했고, 전남자치경찰위원회에서는 조만형 위원장, 백혜웅 사무국장, 박송희... "
positive	정영이(전남 구례) 어느 해인들 곡절 없이 여유로웠던 세월이 있었을까만 2022년 한 해는 자다가도 벌떡... 백남기 농민이 돌아가시고 부검을 하겠다는 정부와 경찰에 맞서 서울대병원 장례식장을 사수했던 하루하루는... 
positive	"앞서 전날 광주시는 5개 구청과 소방본부, 경찰청 등과 함께 긴급 제설을 위한 관계기관 회의를 진행... 한편 광주와 전남지역 19일 오전 6시 기준 적설량은 영광군 18.4㎝, 무안 해제 17.9㎝, 신안 압해 16.8㎝, 함평 월야 15.... "
positive	"행안부, 경찰 조직·인사 제도 개선방안 브리핑(10:00 정부서울청사 별관) ▲ 행안부, 공기업정책위원회... 김영록 전남지사 11:10 전남행복지역화폐 광역플랫폼 구축 업무협약(VIP실) 14:00 전라남도 정책자문위원... "
positive	"2일, 전남 광양시 광양항에 반출 안 된 컨테이너들이 쌓여 있다. 화물연대가 집단적으로 운송을 거부한 16일... “이번에 새총을 쏘고, 차량을 검문·검색하고, 사진을 찍는 행태에 대해 경찰이 강하게 대응했어요.... "
positive	대설·한파 피해 잇따라 제주공항 470편 중 6편만 정상 운항 18일 오전 기준 최대 30㎝가량 눈 전남·전북 등... 경찰 등에 따르면 서울 수서경찰서는 40대 버스기사 A씨를 교통사고처리특례법상 과실치사 혐의로 입건해... 
positive	전남경찰청 표지석. 사진=전남경찰청 태양광 발전시설 설치 계약금 명목으로 전국의 농민에게 거액을 가로챈 사기단이 잡혔다. 전남경찰청 반부패·경제범죄수사1대는 전날 A씨 등 13명을 특정경제범죄가중처벌법상... 
neutral	19일 경찰청에 따르면 지난 18일 전남경찰청 반부패·경제범죄수사1대는 특정경제범죄 가중처벌법상 사기 혐의로 조직책 A 씨 등 13명을 구속해 검찰에 송치했다. A 씨 등은 태양광 발전시설 설치 능력이 없는 업체를... 
negative	전남경찰청 반부패경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 40대 A 씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. A 씨 일당은... 
positive	전남경찰청 반부패경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 또 이들의 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 이들은... 
positive	"전남에서는 여객선 전 항로 운항이 중단됐고, 전북에서도 군산∼어청도와 군산∼석도 등을 오가는 4개... 이에 이 영화관 1층이 한때 통제됐고 경찰이 전문가와 현장을 살펴본 결과 기온이 급격히 떨어져 로비 바닥의... "
positive	"예년보다 늦어지고 있는 총경 승진 인사를 앞두고 광주·전남경찰의 분위기가 뒤숭숭합니다. 광주와 전남경찰들은 새 정부 들어 복수직급제 확대와 순경 출신 고위직 비율 확대 등 변수가 많아진데다, 통상 매년 12월... "
positive	"전남에서는 여객선 전 항로 운항이 중단됐고, 전북에서도 군산∼어청도와 군산∼석도 등을 오가는 4개... 이에 이 영화관 1층이 한때 통제됐고 경찰이 전문가와 현장을 살펴본 결과 기온이 급격히 떨어져 로비 바닥의... "
positive	전남경찰청은 농민들을 상대로 태양광발전시설 설치 사기행각을 벌인 31명을 붙잡아 이가운데 13명을 구속했습니다. 이들은 지난 2020년부터 고령의 농민들에게 접근해 태양광발전시설로 고소득이 보장된다고 속인 뒤... 
positive	전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
positive	경찰은 “내리막길 도로를 주행하던 차량이 눈길에 미끄러지면서 사고가 난 것으로 보인다”고 했다.... 또 18일 오전 5시 58분쯤 전남 보성군 벌교읍에서 차량이 눈길에 미끄러져 운전자가 부상을 입었다. 전북... 
positive	"◀ 기자 ▶ 네, 눈구름띠가 이곳 제주부터 충청, 전남 서부지역을 중심으로 걸쳐 있는데요. 이틀째 눈보라가... [경찰관계자] &quot;눈길에 미끄러지며 건물 외벽을 충격한 단독 사고입니다. 운전자 음주 여부 등 정확한 사고... "
positive	전남경찰청 반부패경제범죄수사1대는 해남·고흥 등 전남지역 농민 300여명을 포함해 전국 농민 854명에게 태양광시설 설치 계약금을 받아 챙긴 일당의 총책 A씨 등 31명을 특정경제범죄가중처벌 등에 관한 법률 위반... 
positive	전남경찰청 태양광발전시설 설치계약금 175억원을 가로챈 혐의 등으로 총책 40대 A씨 등 31명을 검거하고 그 중 13명을 구속 송치했다고 18일 밝혔다. A씨 일당은 지난 2020년부터 태양광시설 제조업체 유령 법인 4곳을... 
positive	"실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통·생활안전·여성청소년 분야에서 유관기관 간 협력이 필요한 6건의 안건을 협의했다. 주요 안건은 ▲시·군... "
positive	"/김애리 기자휴일 이틀 동안 최대 20㎝가 넘는 폭설에 한파가 몰아친 광주·전남 지역에서 각종 교통사고가... 광주시와 5개 자치구 부구청장, 소방본부와 광주경찰청 관계자들은 이날 긴급 제설을 위한 관계 기관... "
positive	18일 전남경찰청에 따르면 전국 농민 854명을 대상으로 유령법인을 4차례 바꿔가며 태양광발전소 설치계약금 175억을 편취한 악성사기 조직 총책 A씨 등 31명을 지난 16일 검거했다. 이중 13명은 구속 송치했다. 총책 A씨... 
positive	전남경찰청 반부패·경제범죄수사1대는 18일 태양광발전시설 설치 계약금 175억 원을 가로챈 혐의(특정경제범죄가중처벌법상 사기)로 A 씨(44) 등 31명을 검거하고 이중 13명은 구속 송치했다고 밝혔다. 이들은 2020년부터... 
positive	"(사진) 실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통?생활안전?여성청소년 분야에서 유관기관 간... "
positive	교육은 폭력예방교육 전문강사인 김향화 경찰인재개발원 성평등정책담당... establish and enforce the ‘Safe City Gwangju’ policy.” ”he said. 원본 기사 보기:브레이크뉴스 전남
positive	"한편, 문영훈 행정부시장은 18일 오전 5개 자치구 부구청장과 경찰, 소방 합동... depending on the weather conditions on the night of the 18th. 원본 기사 보기:브레이크뉴스 전남"
neutral	김정원 전남 장흥경찰서 교통관리계 요즘 휴대전화는 개개인의 신분증처럼 보편적으로 소지하고 있다. 문제는 현대인들의 편리함과 다양함을 제공해주는 이런 휴대전화를 이용하여 보이스피싱 등 다양한 범죄가... 
negative	"18일 광주·전남경찰청에 따르면, 나주경찰은 골프장 탈의실 사물함에서 금품을 훔친 혐의(절도)로 광주 서부경찰서 모 지구대 A경사를 입건했다. A경사는 지난 13일 낮 12시 30분께 나주시 한 골프장 탈의실 사물함에서... "
positive	"군과 경찰, 5월단체 등이 합동 감식을 벌였다. /5·18기념재단 제공 42년 간 베일에 가려있던 5·18민주화운동... ◇암매장 진실 최초 확인 해당 유골로 확인된 신원은 전남 화순에서 태어난 80년 당시 만 23살 청년... "
positive	전남경찰청 전경 농민 수백명을 상대로 태양광 발전시설 설치를 약속 한 뒤 계약금 명목으로 거액을 가로채 달아난 일당이 경찰에 붙잡혔다. 전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기... 
positive	18일 전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 총책 A(44)씨 등 13명을 검거해 송치했다고 밝혔다. 경찰은 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 총 31명이 같은 혐의로... 
positive	"경찰 조사 결과 A씨는 사고 당시 음주나 신호위반을 하지는 않은 것으로 파악됐다. 이날 정오 당시 전남권 서부와 제주도, 울릉도, 독도에 대설특보가 발효상태였으며, 강원 미시령 옛길, 충남 질고개, 전남 두목재 등... "
positive	전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
positive	"굵은 눈발이 그칠 줄 모르자, 경찰이 차량 통행을 통제합니다. &lt;현장음&gt; &quot;서귀포 갈 거죠? 서귀포는 못 가요.... 폭설로 광주 전남지역에선 빙판길 미끄러짐 사고를 비롯해 크고 작은 교통사고가 잇따른 가운데, 눈은 19일... "
positive	전남경찰청 반부패·경제범죄수사1대는 &quot;태양광발전시설 설치 계약금 175억 원을 가로챈 혐의(특정경제범죄가중처벌법상 사기)로 A씨 등 13명을 구속해 검찰에 송치했다&quot;고 18일 밝혔다. 또 유령법인을 내세워 범죄에... 
positive	전남경찰청 반부패·경제범죄수사1대는 18일 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
positive	"전남경찰청은 18일, 유령법인을 4차례나 바꿔가며 전국 농민 854명으로부터 태양광발전시설 설치계약금 175여억 원을 챙긴 악성사기 조직 총책 A씨 등 31명을 검거, 지난 16일 13명을 구속 송치했다고 밝혔다. 총책 A씨... "
positive	18일 광주·전남경찰청에 따르면 나주경찰은 골프장 탈의실 사물함에서 금품을 훔친 혐의(절도)로 서부서 모 지구대 A경사를 입건했다. A경사는 지난 13일 오후 나주시 한 골프장 탈의실 사물함에서 현금·수표 700만 원이... 
positive	골프장 탈의실에서 지갑을 훔친 현직 경찰이 붙잡혔다.전남 나주경찰서는 지난 16일 절도 혐의로 40대 경사 A 씨를 불구속 입건됐다고 밝혔다.A 경사는 지난 13일 전남 나주시 남평읍의 한 골프장 탈의실 옷장에서 701만... 
positive	18일 전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
positive	전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. A씨 등은 설치... 
positive	전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 해당 사기단은... 
positive	전남경찰청 반부패·경제범죄수사 1대는 특정경제범죄가중처벌법상 사기 혐의로 40대 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 본지... 
positive	전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다.?경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 전남경찰청... 
positive	전남경찰청 반부패·경제범죄수사대 1팀은 특정경제범죄가중처벌법상 사기 혐의로 A 씨 등 13명을 해남지청으로 불구속 송치했다고 밝혔습니다. 경찰은 해당 범죄에 가담한 것으로 의심되는 18명에 대해서도 같은 혐의로... 
neutral	전남경찰청 반부패경제범죄수사1대는 태양광 발전시설 설치 사업을 허위로 꾸며 계약금만 가로챈 혐의(특정경제범 가중처벌 등에 관한 법률상 사기)로 총책 A(44)씨 등 31명을 검거했다고 18일 밝혔다. 이 중 A씨 등 13명은... 
negative	전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 31명을 검거해 그중 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰에 따르면 A씨 등은 설치 능력이 없는 업체를 차려놓고... 
positive	"휴일인 17~18일 이틀 새 광주·전남지역에 강추위 속 많은 눈이 내리면서 도로는 물론 하늘길과 뱃길이 모두... 광주시는 이날 오전 5개 구청, 소방본부, 경찰청 등 관계기관들과 ▲장비 동원 ▲이면도로제설... "
positive	"현재까지 119에 도움을 요청한 사례는 광주 30여건, 전남 20여건이다. 또 장성에서는 눈을 치우고 귀가하던 중 길을 잃었다는 신고가 접수돼 소방당국이 출동, 구조 요청자를 경찰에 인계하기도 했다. 많은 눈으로 인해... "
positive	전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
positive	"굵은 눈발이 그칠 줄 모르자, 경찰이 차량 통행을 통제합니다. &lt;현장음&gt; &quot;서귀포 갈 거죠? 서귀포는 못 가요.... 폭설로 광주 전남지역에선 빙판길 미끄러짐 사고를 비롯해 크고 작은 교통사고가 잇따른 가운데, 눈은 19일... "
positive	전남경찰청 반부패·경제범죄수사1대는 특정경제범죄 가중처벌법상 사기 혐의로 A 씨 등 13명을 구속해 검찰에 송치했다고 밝혔습니다. 경찰에 따르면 A 씨 등은 태양광 발전시설 설치 능력이 없는 업체를 차려놓고... 
positive	"광주·전남 일선 경찰관들의 절도·강제추행 등 범죄행위가 드러나면서 공직 기강 해이가 도마 위에 올랐다.18일 광주·전남경찰에 따르면, 나주경찰은 골프장 탈의실 사물함에서 금품을 훔친 혐의(절도)로 광주 서부서 모... "
positive	광주 전남지역 학교와 경찰서 등 공직 현장이 상급자의 갑질로 인해 멍들고 있는 것으로 나타났다. 특히 교단의 갑질은 조직 문화 뿐만 아니라 학생들에게 악영향을 끼치는 만큼 교직 사회의 갑질 공감 지수를 한층 끌어... 
positive	전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
positive	전남경찰청(청장 이충호)은 18일 태양광발전시설 설치계약금 175억원을 가로챈 혐의(특정경제범죄 가중처벌 등에 관한 법률상 사기 등)로 악성조직 총책 40대 A씨 등 31명을 검거하고 그 중 13명을 구속 송치했다. A씨... 
positive	남씨는 지난 10월29일 참사 직후 골목에 홀로 남아 경찰의 제재에도 희생자들에게 제사상을 차려 올린 이다.... “멀리 전남에서 한 할머니가 직접 작성한 축문을 보내와 사용했다”고 설명했다. 이어 “희생자 모두 좋은... 
positive	광주시·전남도민들도 안타까운 뉴스에 함께 마음 졸이고 눈물지었다. 무등일보는 한 해 지역의 대표적인... 화정아이파크 사고 직후 광주경찰은 수사관 89명 규모의 전담 수사본부를 꾸렸다. 앞서 학동 철거건물 사고로... 
positive	"광주와 전남지역에 내리던 눈이 소강상태를 보이고 있지만 밤사이 다시 내림에 따라 19일 오전 출근·등굣길 불편이 예상된다. 광주시는 5개 자치구, 교육청·소방·경찰 등과 관계 기관 회의를 열고 기상 상황에 따라... "
positive	전남경찰청 E경위는 지난 7월 말 부하 여직원을 강제 추행한 혐의가 인정돼 재판을 받고 있다. 성 비위 처리 지침에 따라 경찰청이 감찰 조사 중이다. 초과근무 시간을 조작해 수당 등을 챙긴 경찰관들은 애교에 가깝다.... 
positive	"특히 19일 오전 9시까지 광주와 전남 서부를 중심으로 시간당 3~5㎝의 강한 눈이 내리는 곳이 있을 것으로 전망했다. 이에 광주시는 5개 구청과 소방본부, 경찰청 등과 함께 긴급 제설을 위한 관계기관 회의를 진행했다.... "
positive	"광주와 전남은 156개 농축협 조합장이 선출된다. 광주 14개, 전남 142개다. 조합원 수도 31만명에 이를 만큼 큰... 유관기관과 협력체계를 구축하기 위해 중앙선관위 주관으로 농식품부, 해수부, 산림청, 검·경찰 및 3개... "
positive	"실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통생활안전 여성청소년 분야에서 유관기관 간 협력이 필요한 6건의 안건을 협의했다. 주요 안건은 ▲시군경찰서... "
positive	"이번 실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통·생활안전·여성청소년 분야에서 유관기관 간 협력이 필요한 6건의 안건을 협의했다. 주요 안건은... "
neutral	"이?사고로?고속버스?운전자가?중상을?입는?등?승객과?운전자?등?모두?4명이?다쳐?병원에?옮겨졌고,?고속버스에?있던?다른?20여?명의?승객들은?대체?버스를?통해?목적지인 전남 광주로 이동했다. 경찰... "
negative	18일 광주·전남경찰청에 따르면 이날 오전 10시 기준 광주전남 6곳 도로의 차량 통행이 통제됐다. 이날 오전 5시 기준 완도 소안면 미라재 2㎞ 구간의 차량의 통행이 통제됐으며 이날 오전 4시부터 담양 창평면... 
positive	"버스를?통해?목적지인 전남 광주로 이동했다. 경찰 등은 사고 처리를 위해 논산 방향 고속도로의 모든 차로를 차단했고, 후방 2Km 구간이 극심한 교통 혼잡을 빚었다. 경찰은?정확한 사고 원인에 대해 조사 중이다."
positive	"이번 실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통·생활안전·여성청소년 분야에서 유관기관 간 협력이 필요한 6건의 안건을 협의했다. 주요 안건은... "
positive	"실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통·생활안전·여성청소년 분야에서 유관기관 간 협력이 필요한 6건의 안건을 협의했다. 주요 안건은... "
positive	"실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통?생활안전?여성청소년 분야에서 유관기관 간 협력이 필요한 6건의 안건을 협의했다. 주요 안건은... "
positive	"실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통?생활안전?여성청소년 분야에서 유관기관 간 협력이 필요한 6건의 안건을 협의했다. 주요 안건은... "
positive	"이번 실무협의회에서는 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통?생활안전?여성청소년 분야에서 유관기관 간 협력이 필요한 6건의 안건을 협의했다. 주요 안건은... "
positive	18일 광주와 전남경찰청에 따르면 이날 오전 5시를 기해 완도 소안면 미라재 2㎞ 구간의 차량의 통행이 통제됐다. 또 같은날 오전 4시 담양군 창평면 노가리재 7.5㎞ 구간도 차량의 통행을 제한하는 바리게이트가... 
positive	18일 광주와 전남경찰청에 따르면 이날 오전 5시를 기해 완도 소안면 미라재 2㎞ 구간의 차량의 통행이 통제됐다. 또 같은날 오전 4시 담양군 창평면 노가리재 7.5㎞ 구간도 차량의 통행을 제한하는 바리게이트가... 
positive	"17일 오후 폭설이 내린 전북 전주시 완산구의 한 도로에서 경찰이 교통정리를 하고 있다. (사진=뉴스1)... 제외), 전남권서부, 제주도, 울릉도?독도 3~10㎝?▲충남권내륙, 전북북동내륙, 전남동부 (18일) 서해5도 1~5... "
positive	"18일 광주·전남경찰청에 따르면, 나주경찰은 골프장 탈의실 사물함에서 금품을 훔친 혐의(절도)로 광주 서부서 모 지구대 A경사를 입건했다. A경사는 지난 13일 낮 12시 30분께 나주시 한 골프장 탈의실 사물함에서 현금... "
positive	"행안부의 이번 결정은 인천, 대전, 광주, 세종, 충남, 전남, 전북 지역 등에서 대설주의보가 발효된 데 따른... 이들은 애초 삼각지역 대통령실 앞에서 행진을 시작할 예정이었지만, 경찰이 이를 불허했고 법원에 낸... "
positive	"광주·전남경찰 분위기가 뒤숭숭하다. 특히 새 정부 들어 복수직급제 확대, 일반직(순경) 출신 고위직 비율 확대 등 변수가 많아지면서 인사 결과를 놓고 승진대상자는 물론이고, 조직이 들썩인다. 18일 광주·전남경찰청에... "
positive	"비슷한 시간, 전남 영암군에서는 승용차가 농수로로 미끄러져 4명이 다치는 등 전남지역에서도 빙판길... 경찰은 40대 버스 운전기사를 입건해 정확한 사고 경위를 조사하고 있습니다. KBS 뉴스 최선중입니다. 촬영기자... "
positive	광주·전남 곳곳에서 연말 단체 모임이 기지개를 켜고 있다. 코로나19 장기화로 모임을 간소화하는 문화가... 한 경찰 공무원은 &quot;감염 우려와 이태원 참사가 맞물려 연말 술자리를 자제해야 한다는 분위기가 형성됐다&quot;며... 
positive	"중앙재난안전대책본부에 따르면 17일 오후 11시 기준 제주 산지와 전북 전남에 대설 경보가, 전북과 전남... 부산불꽃축제에는 70만4000명의 관람객이 모였으며, 인파 안전 관리를 위해 경찰과 소방 등 1만6000여명이... "
positive	"생방송(토요일20:35~40)으로 전국에 중계되며, 방송전에 경찰관 및 일반인 참관하에 추첨볼의 무게 및... 자동?? ?전남 나주시 로또1등당첨지역, 로또당첨번호조회 (출처=mbc방송화면 캡쳐) 로또당첨번호조회... "
positive	전남경찰청에 따르면 이날 오후 9시부터 진도 두목재 의신~고군간 3.6km 구간이 강설로 통제됐다. 전남도는 주요 제설구간의 신속한 제설을 위해 이날 오전부터 56개소에 전진기지를 구축하고 고갯길과 급커브 등 결빙... 
neutral	진술했는데 경찰은 CCTV와 블랙박스 등을 토대로 사고 원인을 조사하고 있습니다. 폭설이 내린 충남에선... 내린 전남·광주 지역에선 제설 작업이 더디게 진행되며 곳곳에서 교통사고가 이어졌습니다. 올겨울 최강 한파... 
negative	"오늘 오후 6시 반쯤, 전남 목포시 상동의 한 도로에서 눈길에 미끄러진 SUV 차량 한 대가 마주 오던 차량을 들이받는 사고가 났습니다. 이 사고로 운전자 두 명이 다리와 허리 등을 다쳐 병원으로 옮겨졌습니다. 경찰은... "
positive	전남지방경찰청은 오후 9시를 기해 도로가 빙판으로 변한 진도 두목재(의신~고군) 3.5㎞ 구간에 대해 안전을 위해 차량운행을 통제하고 있다. 앞서 전남도는 오전부터 고갯길과 결빙취약 지역에 제설제를 살포하고... 
positive	광주·전남 소방본부와 경찰 등에 따르면 오전 11시 36분께 전남 화순군 백아면 임곡리 편도 1차로에서 마주 오던 승용차와 관광버스가 빙판길에 미끄러져 충돌했다. 이 사고로 승용차 운전자 A(57) 씨가 경상을... 
positive	오늘(17일) 저녁 6시 40분쯤 전남 목포시 상동 편도 2차로에서 SUV 한 대가 중앙선을 넘어 마주 오던... 가운데 저녁 6시 기준 1㎝ 눈이 쌓인 상태였습니다. 경찰은 정확한 사고 원인을 조사하고 있습니다. (사진=연합뉴스)
positive	광주·전남소방본부와 경찰에 따르면 이날 오전 11시51분 영암군 군서면에서 눈길에서 미끄러진 차량이 농로에 빠져 구조됐다. 오전 11시 36분 화순군 백아면에서는 마주 오던 승용차와 관광버스가 눈길에 미끄러져... 
positive	17일 경찰 등에 따르면 이날 오후 6시 44분께 전남 목포시 상동 편도 2차로에서 SUV가 중앙선을 넘어 반대편에서 오던 승용차와 충돌했다. 이 사고로 A씨와 50대 승용차 운전자 B씨가 다쳐 인근 병원으로 옮겨졌다.... 
positive	"비슷한 시간, 전남 영암군에서는 승용차가 농수로로 미끄러져 4명이 다치는 등 전남지역에서도 빙판길... 경찰은 40대 버스 운전기사를 입건해 정확한 사고 경위를 조사하고 있습니다. KBS 뉴스 최선중입니다. 촬영기자... "
positive	17일 오후 6시 44분께 전남 목포시 상동 편도 2차로에서 60대 A씨가 운전하던 SUV가 중앙선을 넘어... 대설주의보가 발효된 가운데 오후 6시 기준 1㎝ 눈이 쌓인 상태였다. 경찰은 정확한 사고 원인을 조사 중이다.
positive	광주·전남 소방본부와 경찰 등에 따르면 오전 11시 36분께 전남 화순군 백아면 임곡리 편도 1차로에서 마주 오던 승용차와 관광버스가 빙판길에 미끄러져 충돌했다. 이 사고로 승용차 운전자 A(57) 씨가 경상을 입고... 
positive	"희망복권방 - [자동] 전남 나주시 풍물시장1길 3 당첨금 지급 기한은 지급 개시일로부터 1년 이내다.... (주)동행복권과 MBC의 추첨방송 담당자, 경찰관, 방청객들이 지켜보는 가운데 공정하고 투명한 절차를 거쳐... "
positive	"[경찰 관계자 : 승용차가 먼저 그 단독 미끄럼 사고가 있었어요. (승용차) 운전자가 나와서 뒤에 서행... 많은 눈이 내린 광주, 전남 지역에서도 눈길 교통사고가 6건 발생하는 등 오늘 저녁 6시 기준으로 전국에선 빙판길... "
positive	전남경찰청은 보도자료를 통해 상습 결빙 구간에 대한 사전 점검을 완료했고 도로 통제 구간 발생시 전광판 등을 통해 우회 안내하고 상황을 알릴 예정이라고 밝혔습니다. 전남 경찰은 빙판길 차량 사고 예방을 위해 차량... 
